Wypisanie po algorytmie: 
Sciezka: 
1366, 1326, 1286, 1246, 1206, 1166, 1126, 1086, 1085, 1084, 1083, 
Najkrotsza droga z 0 do kolejnych wierzcholkow: 
dist 1000000 , prev  1000000 ,  node 304 ,  304
dist 1000000 , prev  1000000 ,  node 305 ,  305
dist 1000000 , prev  1000000 ,  node 306 ,  306
dist 1000000 , prev  1000000 ,  node 307 ,  307
dist 1000000 , prev  1000000 ,  node 308 ,  308
dist 1000000 , prev  1000000 ,  node 309 ,  309
dist 1000000 , prev  1000000 ,  node 310 ,  310
dist 1000000 , prev  1000000 ,  node 311 ,  311
dist 1000000 , prev  1000000 ,  node 312 ,  312
dist 1000000 , prev  1000000 ,  node 313 ,  313
dist 1000000 , prev  1000000 ,  node 314 ,  314
dist 1000000 , prev  1000000 ,  node 315 ,  315
dist 1000000 , prev  1000000 ,  node 316 ,  316
dist 1000000 , prev  1000000 ,  node 317 ,  317
dist 1000000 , prev  1000000 ,  node 318 ,  318
dist 1000000 , prev  1000000 ,  node 319 ,  319
dist 1000000 , prev  1000000 ,  node 320 ,  320
dist 1000000 , prev  1000000 ,  node 321 ,  321
dist 1000000 , prev  1000000 ,  node 322 ,  322
dist 1000000 , prev  1000000 ,  node 323 ,  323
dist 1000000 , prev  1000000 ,  node 324 ,  324
dist 1000000 , prev  1000000 ,  node 325 ,  325
dist 1000000 , prev  1000000 ,  node 326 ,  326
dist 1000000 , prev  1000000 ,  node 327 ,  327
dist 1000000 , prev  1000000 ,  node 328 ,  328
dist 1000000 , prev  1000000 ,  node 329 ,  329
dist 1000000 , prev  1000000 ,  node 330 ,  330
dist 1000000 , prev  1000000 ,  node 331 ,  331
dist 1000000 , prev  1000000 ,  node 332 ,  332
dist 1000000 , prev  1000000 ,  node 333 ,  333
dist 1000000 , prev  1000000 ,  node 334 ,  334
dist 1000000 , prev  1000000 ,  node 335 ,  335
dist 1000000 , prev  1000000 ,  node 336 ,  336
dist 1000000 , prev  1000000 ,  node 337 ,  337
dist 1000000 , prev  1000000 ,  node 338 ,  338
dist 1000000 , prev  1000000 ,  node 339 ,  339
dist 1000000 , prev  1000000 ,  node 340 ,  340
dist 1000000 , prev  1000000 ,  node 341 ,  341
dist 1000000 , prev  1000000 ,  node 342 ,  342
dist 1000000 , prev  1000000 ,  node 343 ,  343
dist 1000000 , prev  1000000 ,  node 344 ,  344
dist 1000000 , prev  1000000 ,  node 345 ,  345
dist 1000000 , prev  1000000 ,  node 346 ,  346
dist 1000000 , prev  1000000 ,  node 347 ,  347
dist 1000000 , prev  1000000 ,  node 348 ,  348
dist 1000000 , prev  1000000 ,  node 349 ,  349
dist 1000000 , prev  1000000 ,  node 350 ,  350
dist 1000000 , prev  1000000 ,  node 351 ,  351
dist 1000000 , prev  1000000 ,  node 352 ,  352
dist 1000000 , prev  1000000 ,  node 353 ,  353
dist 1000000 , prev  1000000 ,  node 354 ,  354
dist 1000000 , prev  1000000 ,  node 355 ,  355
dist 1000000 , prev  1000000 ,  node 356 ,  356
dist 1000000 , prev  1000000 ,  node 357 ,  357
dist 1000000 , prev  1000000 ,  node 358 ,  358
dist 1000000 , prev  1000000 ,  node 359 ,  359
dist 1000000 , prev  1000000 ,  node 360 ,  360
dist 1000000 , prev  1000000 ,  node 361 ,  361
dist 1000000 , prev  1000000 ,  node 362 ,  362
dist 1000000 , prev  1000000 ,  node 363 ,  363
dist 1000000 , prev  1000000 ,  node 364 ,  364
dist 1000000 , prev  1000000 ,  node 365 ,  365
dist 1000000 , prev  1000000 ,  node 366 ,  366
dist 1000000 , prev  1000000 ,  node 367 ,  367
dist 1000000 , prev  1000000 ,  node 368 ,  368
dist 1000000 , prev  1000000 ,  node 369 ,  369
dist 1000000 , prev  1000000 ,  node 370 ,  370
dist 1000000 , prev  1000000 ,  node 371 ,  371
dist 1000000 , prev  1000000 ,  node 372 ,  372
dist 1000000 , prev  1000000 ,  node 373 ,  373
dist 1000000 , prev  1000000 ,  node 374 ,  374
dist 1000000 , prev  1000000 ,  node 375 ,  375
dist 1000000 , prev  1000000 ,  node 376 ,  376
dist 1000000 , prev  1000000 ,  node 377 ,  377
dist 1000000 , prev  1000000 ,  node 378 ,  378
dist 1000000 , prev  1000000 ,  node 379 ,  379
dist 1000000 , prev  1000000 ,  node 380 ,  380
dist 1000000 , prev  1000000 ,  node 381 ,  381
dist 1000000 , prev  1000000 ,  node 382 ,  382
dist 1000000 , prev  1000000 ,  node 383 ,  383
dist 1000000 , prev  1000000 ,  node 384 ,  384
dist 1000000 , prev  1000000 ,  node 385 ,  385
dist 1000000 , prev  1000000 ,  node 386 ,  386
dist 1000000 , prev  1000000 ,  node 387 ,  387
dist 1000000 , prev  1000000 ,  node 388 ,  388
dist 1000000 , prev  1000000 ,  node 389 ,  389
dist 1000000 , prev  1000000 ,  node 390 ,  390
dist 1000000 , prev  1000000 ,  node 391 ,  391
dist 1000000 , prev  1000000 ,  node 392 ,  392
dist 1000000 , prev  1000000 ,  node 393 ,  393
dist 1000000 , prev  1000000 ,  node 394 ,  394
dist 1000000 , prev  1000000 ,  node 395 ,  395
dist 1000000 , prev  1000000 ,  node 396 ,  396
dist 1000000 , prev  1000000 ,  node 397 ,  397
dist 1000000 , prev  1000000 ,  node 398 ,  398
dist 1000000 , prev  1000000 ,  node 399 ,  399
dist 1000000 , prev  1000000 ,  node 400 ,  400
dist 1000000 , prev  1000000 ,  node 401 ,  401
dist 1000000 , prev  1000000 ,  node 402 ,  402
dist 1000000 , prev  1000000 ,  node 403 ,  403
dist 1000000 , prev  1000000 ,  node 404 ,  404
dist 1000000 , prev  1000000 ,  node 405 ,  405
dist 1000000 , prev  1000000 ,  node 406 ,  406
dist 1000000 , prev  1000000 ,  node 407 ,  407
dist 1000000 , prev  1000000 ,  node 408 ,  408
dist 1000000 , prev  1000000 ,  node 409 ,  409
dist 1000000 , prev  1000000 ,  node 410 ,  410
dist 1000000 , prev  1000000 ,  node 411 ,  411
dist 1000000 , prev  1000000 ,  node 412 ,  412
dist 1000000 , prev  1000000 ,  node 413 ,  413
dist 1000000 , prev  1000000 ,  node 414 ,  414
dist 1000000 , prev  1000000 ,  node 415 ,  415
dist 1000000 , prev  1000000 ,  node 416 ,  416
dist 1000000 , prev  1000000 ,  node 417 ,  417
dist 1000000 , prev  1000000 ,  node 418 ,  418
dist 1000000 , prev  1000000 ,  node 419 ,  419
dist 1000000 , prev  1000000 ,  node 420 ,  420
dist 1000000 , prev  1000000 ,  node 421 ,  421
dist 1000000 , prev  1000000 ,  node 422 ,  422
dist 1000000 , prev  1000000 ,  node 423 ,  423
dist 1000000 , prev  1000000 ,  node 424 ,  424
dist 1000000 , prev  1000000 ,  node 425 ,  425
dist 1000000 , prev  1000000 ,  node 426 ,  426
dist 1000000 , prev  1000000 ,  node 427 ,  427
dist 1000000 , prev  1000000 ,  node 428 ,  428
dist 1000000 , prev  1000000 ,  node 429 ,  429
dist 1000000 , prev  1000000 ,  node 430 ,  430
dist 1000000 , prev  1000000 ,  node 431 ,  431
dist 1000000 , prev  1000000 ,  node 432 ,  432
dist 1000000 , prev  1000000 ,  node 433 ,  433
dist 1000000 , prev  1000000 ,  node 434 ,  434
dist 1000000 , prev  1000000 ,  node 435 ,  435
dist 1000000 , prev  1000000 ,  node 436 ,  436
dist 1000000 , prev  1000000 ,  node 437 ,  437
dist 1000000 , prev  1000000 ,  node 438 ,  438
dist 1000000 , prev  1000000 ,  node 439 ,  439
dist 1000000 , prev  1000000 ,  node 440 ,  440
dist 1000000 , prev  1000000 ,  node 441 ,  441
dist 1000000 , prev  1000000 ,  node 442 ,  442
dist 1000000 , prev  1000000 ,  node 443 ,  443
dist 1000000 , prev  1000000 ,  node 444 ,  444
dist 1000000 , prev  1000000 ,  node 445 ,  445
dist 1000000 , prev  1000000 ,  node 446 ,  446
dist 1000000 , prev  1000000 ,  node 447 ,  447
dist 1000000 , prev  1000000 ,  node 448 ,  448
dist 1000000 , prev  1000000 ,  node 449 ,  449
dist 1000000 , prev  1000000 ,  node 450 ,  450
dist 1000000 , prev  1000000 ,  node 451 ,  451
dist 1000000 , prev  1000000 ,  node 452 ,  452
dist 1000000 , prev  1000000 ,  node 453 ,  453
dist 1000000 , prev  1000000 ,  node 454 ,  454
dist 1000000 , prev  1000000 ,  node 455 ,  455
dist 1000000 , prev  1000000 ,  node 456 ,  456
dist 1000000 , prev  1000000 ,  node 457 ,  457
dist 1000000 , prev  1000000 ,  node 458 ,  458
dist 1000000 , prev  1000000 ,  node 459 ,  459
dist 1000000 , prev  1000000 ,  node 460 ,  460
dist 1000000 , prev  1000000 ,  node 461 ,  461
dist 1000000 , prev  1000000 ,  node 462 ,  462
dist 1000000 , prev  1000000 ,  node 463 ,  463
dist 1000000 , prev  1000000 ,  node 464 ,  464
dist 1000000 , prev  1000000 ,  node 465 ,  465
dist 1000000 , prev  1000000 ,  node 466 ,  466
dist 1000000 , prev  1000000 ,  node 467 ,  467
dist 1000000 , prev  1000000 ,  node 468 ,  468
dist 1000000 , prev  1000000 ,  node 469 ,  469
dist 1000000 , prev  1000000 ,  node 470 ,  470
dist 1000000 , prev  1000000 ,  node 471 ,  471
dist 1000000 , prev  1000000 ,  node 472 ,  472
dist 1000000 , prev  1000000 ,  node 473 ,  473
dist 1000000 , prev  1000000 ,  node 474 ,  474
dist 1000000 , prev  1000000 ,  node 475 ,  475
dist 1000000 , prev  1000000 ,  node 476 ,  476
dist 1000000 , prev  1000000 ,  node 477 ,  477
dist 1000000 , prev  1000000 ,  node 478 ,  478
dist 1000000 , prev  1000000 ,  node 479 ,  479
dist 1000000 , prev  1000000 ,  node 480 ,  480
dist 1000000 , prev  1000000 ,  node 481 ,  481
dist 1000000 , prev  1000000 ,  node 482 ,  482
dist 1000000 , prev  1000000 ,  node 483 ,  483
dist 1000000 , prev  1000000 ,  node 484 ,  484
dist 1000000 , prev  1000000 ,  node 485 ,  485
dist 1000000 , prev  1000000 ,  node 486 ,  486
dist 1000000 , prev  1000000 ,  node 487 ,  487
dist 1000000 , prev  1000000 ,  node 488 ,  488
dist 1000000 , prev  1000000 ,  node 489 ,  489
dist 1000000 , prev  1000000 ,  node 490 ,  490
dist 1000000 , prev  1000000 ,  node 491 ,  491
dist 1000000 , prev  1000000 ,  node 492 ,  492
dist 1000000 , prev  1000000 ,  node 493 ,  493
dist 1000000 , prev  1000000 ,  node 494 ,  494
dist 1000000 , prev  1000000 ,  node 495 ,  495
dist 1000000 , prev  1000000 ,  node 496 ,  496
dist 1000000 , prev  1000000 ,  node 497 ,  497
